file,ext,is_test,raw_line_count,function_count,function_min_lines,function_max_lines,function_avg_lines,concerns
mml.sh,.sh,no,681,26,6,69,19.27,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/cli.py,.py,no,238,9,8,75,26.56,ipc_transport|process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/common/__init__.py,.py,no,6,0,0,0,0,
mimolo/common/paths.py,.py,no,47,3,7,20,12.67,filesystem_io
mimolo/utils/src/index.ts,.ts,no,2,0,0,0,0,
mimolo/utils/src/pack-agent.ts,.ts,no,1030,92,3,250,19.29,config_policy|filesystem_io|plugin_packaging|logging_diag|cli_scripts
mimolo/agents/client_folder_activity/client_folder_activity.py,.py,no,394,13,3,78,27.62,config_policy|filesystem_io|polling_timing|logging_diag|cli_scripts
mimolo/agents/agent_template/agent_template.py,.py,no,309,11,3,55,18.45,config_policy|plugin_packaging|polling_timing|logging_diag|cli_scripts
mimolo/__init__.py,.py,no,29,0,0,0,0,config_policy|plugin_packaging|logging_diag
mimolo/agents/base_agent.py,.py,no,279,15,4,46,17.2,plugin_packaging|polling_timing|logging_diag
mimolo/agents/screen_tracker/screen_tracker.py,.py,no,655,26,3,79,23.27,process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts
test_logging_manual.py,.py,no,188,5,25,54,34.4,ipc_transport|filesystem_io|plugin_packaging|logging_diag|security_trust
tests/test_sink_variants.py,.py,yes,104,6,5,23,14.83,filesystem_io|logging_diag|tests
tests/test_cooldown.py,.py,yes,152,11,8,18,13,polling_timing|logging_diag|tests
tests/test_plugin_spec_and_adapter.py,.py,yes,29,3,3,17,8.67,plugin_packaging|polling_timing|logging_diag|tests
tests/test_sink_permissions.py,.py,yes,44,2,14,16,15,filesystem_io|tests|security_trust
tests/test_registry.py,.py,yes,206,18,4,14,10.39,plugin_packaging|polling_timing|logging_diag|tests
tests/test_cli_sigterm.py,.py,yes,33,2,14,22,18,process_lifecycle|config_policy|plugin_packaging|tests|cli_scripts
