file,concerns
mml.sh,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/cli.py,ipc_transport|process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/utils/src/pack-agent.ts,config_policy|filesystem_io|plugin_packaging|logging_diag|cli_scripts
mimolo/agents/client_folder_activity/client_folder_activity.py,config_policy|filesystem_io|polling_timing|logging_diag|cli_scripts
mimolo/agents/agent_template/agent_template.py,config_policy|plugin_packaging|polling_timing|logging_diag|cli_scripts
mimolo/__init__.py,config_policy|plugin_packaging|logging_diag
mimolo/agents/base_agent.py,plugin_packaging|polling_timing|logging_diag
mimolo/agents/screen_tracker/screen_tracker.py,process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts
test_logging_manual.py,ipc_transport|filesystem_io|plugin_packaging|logging_diag|security_trust
mimolo-control/src/electron-shims.d.ts,ui_render|security_trust
mimolo-control/src/main.ts,ui_render|security_trust
scripts/bundle_app.sh,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|logging_diag|cli_scripts
scripts/deploy_portable.sh,config_policy|filesystem_io|plugin_packaging|logging_diag|cli_scripts
scripts/install_dev_tools_windows.ps1,config_policy|filesystem_io|plugin_packaging|logging_diag|security_trust
mimolo/agents/agent_example/agent_example.py,plugin_packaging|polling_timing|logging_diag
mimolo/core/registry.py,plugin_packaging|polling_timing|logging_diag
mimolo/core/ipc.py,ipc_transport|filesystem_io|plugin_packaging|logging_diag|cli_scripts|security_trust
mimolo/core/sink.py,ui_render|config_policy|filesystem_io|logging_diag|security_trust
mimolo/core/config.py,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/core/runtime_monitor_settings.py,config_policy|polling_timing|security_trust
mimolo/core/event.py,plugin_packaging|polling_timing|logging_diag|security_trust
mimolo/core/aggregate.py,plugin_packaging|polling_timing|logging_diag
mimolo/core/agent_debug.py,process_lifecycle|logging_diag
mimolo/core/runtime_ipc_commands.py,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|logging_diag
mimolo/core/protocol.py,polling_timing|logging_diag
mimolo/core/agent_logging.py,config_policy|plugin_packaging|polling_timing|logging_diag
mimolo/core/ops_singleton.py,filesystem_io|logging_diag|security_trust
mimolo/core/runtime_ipc_server.py,ipc_transport|filesystem_io|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/core/cooldown.py,config_policy|polling_timing|logging_diag
mimolo/core/__init__.py,config_policy|plugin_packaging|polling_timing|logging_diag
mimolo/core/agent_menu.py,polling_timing|logging_diag
mimolo/core/logging_setup.py,config_policy|plugin_packaging|logging_diag|cli_scripts
mimolo/core/plugin_store.py,ui_render|config_policy|filesystem_io|plugin_packaging|logging_diag|security_trust
mimolo/core/agent_process.py,ipc_transport|process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|security_trust
mimolo/core/runtime_shutdown.py,ipc_transport|config_policy|polling_timing|logging_diag
mimolo/core/errors.py,config_policy|plugin_packaging|logging_diag
mimolo/core/plugin.py,plugin_packaging|polling_timing|logging_diag|security_trust
mimolo/core/ipc_slowpoke.py,ui_render|ipc_transport|filesystem_io|plugin_packaging|polling_timing|logging_diag
mimolo/core/runtime_agent_events.py,config_policy|polling_timing|logging_diag
mimolo/core/runtime_widget_support.py,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag
mimolo/core/runtime.py,ui_render|ipc_transport|process_lifecycle|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
archive/start_scripts/start_control_dev.sh,ui_render|ipc_transport|config_policy|filesystem_io|polling_timing|cli_scripts
mimolo/control_proto/src/control_command_wrappers.ts,ui_render|ipc_transport|plugin_packaging|logging_diag
mimolo/control_proto/src/control_proto_utils.ts,ipc_transport|config_policy|polling_timing|logging_diag
mimolo/control_proto/src/index.ts,ipc_transport|plugin_packaging|polling_timing|logging_diag|cli_scripts
mimolo/control_proto/src/control_persistent_ipc.ts,ipc_transport|polling_timing|logging_diag|cli_scripts
mimolo/control_proto/src/electron-shims.d.ts,ui_render|ipc_transport|logging_diag|security_trust
mimolo/control_proto/src/preload.ts,ui_render|ipc_transport
mimolo/control_proto/src/node-shims.d.ts,ipc_transport|process_lifecycle|filesystem_io|polling_timing|logging_diag
mimolo/control_proto/src/types.ts,ui_render|ipc_transport|config_policy|polling_timing|logging_diag
mimolo/control_proto/src/control_ipc_handlers.ts,ui_render|ipc_transport|config_policy|plugin_packaging|polling_timing|logging_diag
mimolo/control_proto/src/control_timing.ts,ui_render|ipc_transport|config_policy|polling_timing
mimolo/control_proto/src/main.ts,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/control_proto/src/ui_html.ts,ui_render|ipc_transport|config_policy|filesystem_io|plugin_packaging|polling_timing|logging_diag|cli_scripts|security_trust
mimolo/control_proto/src/control_operations.ts,ipc_transport|process_lifecycle|config_policy|filesystem_io|polling_timing|logging_diag|cli_scripts
