file,line,issue,excerpt
mimolo/utils/src/pack-agent.ts,6,hardcoded_path_fragment,"import { createInterface } from ""node:readline/promises"";"
mimolo/agents/client_folder_activity/client_folder_activity.py,333,hardcoded_path_fragment,"""--follow-symlinks/--no-follow-symlinks"","
mimolo/agents/screen_tracker/screen_tracker.py,100,hardcoded_path_fragment,"return ""image/jpeg"""
mimolo/agents/screen_tracker/screen_tracker.py,102,hardcoded_path_fragment,"return ""image/png"""
mimolo/agents/screen_tracker/screen_tracker.py,105,hardcoded_path_fragment,"return ""application/octet-stream"""
mimolo/agents/screen_tracker/screen_tracker.py,290,hardcoded_path_fragment,"""""""Hash one artifact for dedupe/traceability."""""""
mimolo/agents/screen_tracker/screen_tracker.py,608,hardcoded_path_fragment,"""--letterbox/--no-letterbox"","
mimolo/core/config.py,24,hardcoded_path_fragment,"journal_dir: str = ""./journals""  # Event stream storage"
mimolo/core/config.py,25,hardcoded_path_fragment,"cache_dir: str = ""./cache""  # Agent state cache"
mimolo/core/config.py,31,hardcoded_path_fragment,"log_dir: str = Field(default=""./logs"")"
mimolo/core/runtime_ipc_commands.py,496,hardcoded_path_fragment,"""spec"": ""developer_docs/control_dev/WIDGET_RENDER_IPC_MIN_SPEC.md"","
mimolo/core/runtime_ipc_commands.py,525,hardcoded_path_fragment,"""spec"": ""developer_docs/control_dev/WIDGET_RENDER_IPC_MIN_SPEC.md"","
mimolo/core/runtime_ipc_commands.py,554,hardcoded_path_fragment,"""spec"": ""developer_docs/control_dev/WIDGET_RENDER_IPC_MIN_SPEC.md"","
mimolo/core/runtime_ipc_commands.py,563,hardcoded_path_fragment,"""spec"": ""developer_docs/control_dev/WIDGET_RENDER_IPC_MIN_SPEC.md"","
mimolo/core/runtime_ipc_server.py,50,hardcoded_path_fragment,"""""""Serve one IPC client connection until disconnect/stop."""""""
mimolo/core/agent_menu.py,118,hardcoded_path_fragment,"nav_text.append(""q/Esc"", style=""cyan"")"
mimolo/core/plugin_store.py,295,hardcoded_path_fragment,"manifest_member = f""{top_level}/manifest.json"""
mimolo/core/runtime_widget_support.py,52,hardcoded_path_fragment,"mime = ""image/jpeg"""
mimolo/core/runtime_widget_support.py,54,hardcoded_path_fragment,"mime = ""image/png"""
mimolo/core/runtime.py,782,hardcoded_path_fragment,"""""""Serve one IPC client connection until disconnect/stop."""""""
mimolo/control_proto/src/control_command_wrappers.ts,5,hardcoded_path_fragment,"} from ""./types.js"";"
mimolo/control_proto/src/control_command_wrappers.ts,6,hardcoded_path_fragment,"import { coerceBoolean, coerceNonEmptyString } from ""./control_proto_utils.js"";"
mimolo/control_proto/src/control_proto_utils.ts,8,hardcoded_path_fragment,"} from ""./types.js"";"
mimolo/control_proto/src/index.ts,2,hardcoded_path_fragment,"import { setTimeout as delay } from ""node:timers/promises"";"
mimolo/control_proto/src/control_persistent_ipc.ts,6,hardcoded_path_fragment,"} from ""./types.js"";"
mimolo/control_proto/src/electron-shims.d.ts,114,hardcoded_path_fragment,"declare module ""electron/main"" {"
mimolo/control_proto/src/node-shims.d.ts,32,hardcoded_path_fragment,"declare module ""node:timers/promises"" {"
mimolo/control_proto/src/node-shims.d.ts,66,hardcoded_path_fragment,"declare module ""node:fs/promises"" {"
mimolo/control_proto/src/control_ipc_handlers.ts,12,hardcoded_path_fragment,"} from ""./types.js"";"
mimolo/control_proto/src/control_timing.ts,1,hardcoded_path_fragment,"import type { ControlTimingSettings } from ""./types.js"";"
mimolo/control_proto/src/main.ts,2,hardcoded_path_fragment,"import { mkdir, readFile, stat, writeFile } from ""node:fs/promises"";"
mimolo/control_proto/src/main.ts,17,hardcoded_path_fragment,"} from ""./types.js"";"
mimolo/control_proto/src/main.ts,18,hardcoded_path_fragment,"import { buildHtml } from ""./ui_html.js"";"
mimolo/control_proto/src/main.ts,22,hardcoded_path_fragment,"} from ""./control_timing.js"";"
mimolo/control_proto/src/main.ts,32,hardcoded_path_fragment,"} from ""./control_proto_utils.js"";"
mimolo/control_proto/src/main.ts,39,hardcoded_path_fragment,"} from ""./control_command_wrappers.js"";"
mimolo/control_proto/src/main.ts,40,hardcoded_path_fragment,"import { PersistentIpcClient } from ""./control_persistent_ipc.js"";"
mimolo/control_proto/src/main.ts,41,hardcoded_path_fragment,"import { OperationsController } from ""./control_operations.js"";"
mimolo/control_proto/src/main.ts,42,hardcoded_path_fragment,"import { registerIpcHandlers } from ""./control_ipc_handlers.js"";"
mimolo/control_proto/src/ui_html.ts,1,hardcoded_path_fragment,"import type { ControlTimingSettings } from ""./types.js"";"
mimolo/control_proto/src/ui_html.ts,1253,hardcoded_path_fragment,"const ratio = typeof widget.default_aspect_ratio === ""string"" ? widget.default_aspect_ratio : ""n/a"";"
mimolo/control_proto/src/ui_html.ts,1504,hardcoded_path_fragment,"zipInput.placeholder = ""/path/to/plugin.zip"";"
mimolo/control_proto/src/ui_html.ts,1543,hardcoded_path_fragment,"details.value = ""Inspect a plugin archive to validate it and choose install/upgrade."";"
mimolo/control_proto/src/control_operations.ts,2,hardcoded_path_fragment,"import { mkdir, writeFile } from ""node:fs/promises"";"
mimolo/control_proto/src/control_operations.ts,12,hardcoded_path_fragment,"} from ""./types.js"";"
