file,language,symbol_type,name,start,end,inputs_outputs,summary
mml.sh,sh,function,trim,49,54,see signature,implementation function
mml.sh,sh,function,get_toml_value,56,71,see signature,implementation function
mml.sh,sh,function,load_launcher_config,73,98,see signature,implementation function
mml.sh,sh,function,normalize_all_command,100,112,see signature,implementation function
mml.sh,sh,function,to_abs_path,114,121,see signature,implementation function
mml.sh,sh,function,apply_environment_defaults,123,168,see signature,implementation function
mml.sh,sh,function,ensure_portable_layout,170,188,see signature,implementation function
mml.sh,sh,function,has_config_arg,190,199,see signature,implementation function
mml.sh,sh,function,run_ops_command,201,211,see signature,implementation function
mml.sh,sh,function,run_prepare,213,230,see signature,implementation function
mml.sh,sh,function,cleanup_artifacts,232,266,see signature,implementation function
mml.sh,sh,function,maybe_reset_and_prepare,268,275,see signature,implementation function
mml.sh,sh,function,apply_dev_mode_env,277,285,see signature,implementation function
mml.sh,sh,function,ensure_control_build,287,298,see signature,implementation function
mml.sh,sh,function,ensure_proto_build,300,311,see signature,implementation function
mml.sh,sh,function,ensure_prepared,313,320,see signature,implementation function
mml.sh,sh,function,print_usage,322,390,see signature,implementation function
mml.sh,sh,function,list_mimolo_processes,392,410,see signature,implementation function
mml.sh,sh,function,launch_operations,412,421,see signature,implementation function
mml.sh,sh,function,launch_control,423,432,see signature,implementation function
mml.sh,sh,function,launch_proto,434,444,see signature,implementation function
mml.sh,sh,function,launch_bundle_app,446,462,see signature,implementation function
mml.sh,sh,function,wait_for_ipc_socket,464,507,see signature,implementation function
mml.sh,sh,function,ipc_ping,472,486,see signature,implementation function
mml.sh,sh,function,run_all_target,509,551,see signature,implementation function
mml.sh,sh,function,cleanup,529,534,see signature,implementation function
mimolo/cli.py,py,function,_check_platform_or_exit,36,48,see signature,implementation function
mimolo/cli.py,py,function,_apply_monitor_env_overrides,49,63,see signature,implementation function
mimolo/cli.py,py,function,_install_graceful_sigterm_handler,64,102,see signature,implementation function
mimolo/cli.py,py,function,_on_sigterm,67,102,see signature,implementation function
mimolo/cli.py,py,function,_run_ops_command,103,177,see signature,implementation function
mimolo/cli.py,py,function,ops,178,189,see signature,implementation function
mimolo/cli.py,py,function,monitor_alias,190,201,see signature,implementation function
mimolo/cli.py,py,function,test,202,230,see signature,implementation function
mimolo/cli.py,py,function,main,231,238,see signature,implementation function
mimolo/common/paths.py,py,function,_env_path,10,20,see signature,implementation function
mimolo/common/paths.py,py,function,get_mimolo_data_dir,21,40,see signature,implementation function
mimolo/common/paths.py,py,function,get_mimolo_bin_dir,41,47,see signature,implementation function
mimolo/utils/src/pack-agent.ts,ts,function,readBuildManifest,38,46,see signature,implementation function
